127.0.0.1, 2016-10-06 15:20:44, GET, /, HTTP/1.1, 303, 0.844000
127.0.0.1, 2016-10-06 15:20:46, GET, /welcome/default/index, HTTP/1.1, 200, 1.153000
127.0.0.1, 2016-10-06 15:20:50, GET, /admin/default/site, HTTP/1.1, 303, 0.126000
127.0.0.1, 2016-10-06 15:20:50, GET, /admin/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-10-06 15:20:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:20:51, POST, /admin/default/index, HTTP/1.1, 303, 0.039000
127.0.0.1, 2016-10-06 15:20:52, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-10-06 15:20:52, POST, /admin/default/check_version, HTTP/1.1, 200, 0.377000
127.0.0.1, 2016-10-06 15:20:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:20:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-10-06 15:20:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.040000
127.0.0.1, 2016-10-06 15:20:59, POST, /admin/default/site, HTTP/1.1, 303, 0.535000
127.0.0.1, 2016-10-06 15:20:59, GET, /admin/default/design/Dropshipping, HTTP/1.1, 200, 0.149000
127.0.0.1, 2016-10-06 15:21:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:21:05, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-10-06 15:21:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 15:21:05, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.075000
127.0.0.1, 2016-10-06 15:21:05, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.113000
127.0.0.1, 2016-10-06 15:21:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.194000
127.0.0.1, 2016-10-06 15:21:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.226000
127.0.0.1, 2016-10-06 15:21:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.234000
127.0.0.1, 2016-10-06 15:21:06, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.710000
127.0.0.1, 2016-10-06 15:21:35, POST, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.058000
127.0.0.1, 2016-10-06 15:21:38, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2016-10-06 15:21:38, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-10-06 15:21:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:21:42, GET, /Dropshipping/default/index, HTTP/1.1, 500, 1.466000
127.0.0.1, 2016-10-06 15:21:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 15:21:43, GET, /admin/default/ticket/Dropshipping/127.0.0.1.2016-10-06.15-21-40.130c974a-bee7-441d-b560-862c7020c393, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-10-06 15:21:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:21:49, GET, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-10-06 15:21:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:21:51, GET, /admin/default/design/Dropshipping, HTTP/1.1, 200, 0.105000
127.0.0.1, 2016-10-06 15:21:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 15:21:53, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-10-06 15:21:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-10-06 15:21:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-10-06 15:21:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 15:21:54, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-10-06 15:21:54, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-10-06 15:21:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.163000
127.0.0.1, 2016-10-06 15:21:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.208000
127.0.0.1, 2016-10-06 15:21:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.142000
127.0.0.1, 2016-10-06 15:21:55, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 1.505000
127.0.0.1, 2016-10-06 15:22:07, POST, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-10-06 15:22:18, GET, /admin/default/index, HTTP/1.1, 303, 0.010000
127.0.0.1, 2016-10-06 15:22:18, GET, /admin/default/site, HTTP/1.1, 200, 0.051000
127.0.0.1, 2016-10-06 15:22:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/default/index, HTTP/1.1, 200, 0.476000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 15:22:20, GET, /Dropshipping/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:22:39, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-10-06 15:22:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.457000
127.0.0.1, 2016-10-06 15:22:51, GET, /admin/default/site, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-10-06 15:22:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:22:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-10-06 15:22:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-10-06 15:22:54, GET, /admin/default/design/Dropshipping, HTTP/1.1, 200, 0.317000
127.0.0.1, 2016-10-06 15:22:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:23:00, GET, /admin/default/peek/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-10-06 15:23:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:23:12, GET, /admin/default/design/Dropshipping, HTTP/1.1, 200, 0.313000
127.0.0.1, 2016-10-06 15:23:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 15:23:15, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-10-06 15:23:15, GET, /favicon.ico, HTTP/1.1, 400, 0.024000
127.0.0.1, 2016-10-06 15:23:15, GET, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.082000
127.0.0.1, 2016-10-06 15:23:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.118000
127.0.0.1, 2016-10-06 15:23:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.185000
127.0.0.1, 2016-10-06 15:23:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.229000
127.0.0.1, 2016-10-06 15:23:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.150000
127.0.0.1, 2016-10-06 15:23:16, GET, /Dropshipping/appadmin/hooks, HTTP/1.1, 200, 0.396000
127.0.0.1, 2016-10-06 15:23:28, POST, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.091000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:23:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:23:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.455000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:23:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
